_id,background,name,plat_id,wdzj_plat_id,status,finished
ObjectId("5b7adccc80866e4255c63028"),,北方贷,391,391,,1
ObjectId("5b7adccc80866e4255c6302a"),,隆隆网,964,964,,1
ObjectId("5b7adccc80866e4255c6302f"),,华金在线,6661,6661,,1
ObjectId("5b7adccc80866e4255c63037"),,淘金家,1098,1098,,1
ObjectId("5b7adccc80866e4255c6303a"),,召宝贷,4361,4361,,1
ObjectId("5b7adccc80866e4255c6303f"),,红狐理财,5005,5005,,1
ObjectId("5b7adccc80866e4255c63041"),,盈盈理财,848,848,,1
ObjectId("5b7adccc80866e4255c63044"),,1119贷,791,791,,1
ObjectId("5b7adccc80866e4255c63059"),,宏财网,4522,4522,,1
ObjectId("5b7adccc80866e4255c63064"),,中科财富,4271,4271,,1
ObjectId("5b7adccc80866e4255c63066"),,民生转赚,1341,1341,,1
ObjectId("5b7adccc80866e4255c63068"),,平安理财网,853,853,,1
ObjectId("5b7adccc80866e4255c63078"),,物金所,1149,1149,,1
ObjectId("5b7adccc80866e4255c6307c"),,无界财富,4305,4305,,1
ObjectId("5b7adccc80866e4255c6307e"),,连连赚,4145,4145,,1
ObjectId("5b7adccc80866e4255c63083"),,钱生花,579,579,,1
ObjectId("5b7adccc80866e4255c63086"),,湖湘财富,370,370,,1
ObjectId("5b7adccc80866e4255c63089"),,普点金服,1024,1024,,1
ObjectId("5b7adccc80866e4255c6308e"),,信通袋,759,759,,1
ObjectId("5b7adccc80866e4255c63091"),,奶牛计划,4348,4348,,1
ObjectId("5b7adccc80866e4255c63093"),,快钱,5383,5383,,1
ObjectId("5b7adccc80866e4255c6309a"),,方泽金服,990,990,,1
ObjectId("5b7adccc80866e4255c630a0"),,正事贷,4989,4989,,1
ObjectId("5b7adccc80866e4255c630a2"),,翰金所,6301,6301,,1
ObjectId("5b7adccc80866e4255c630a5"),,新空间财富,4668,4668,,1
ObjectId("5b7adccc80866e4255c630a7"),,红金所,4546,4546,,1
ObjectId("5b7adccc80866e4255c630aa"),,网金社,3846,3846,,1
ObjectId("5b7adccc80866e4255c630c5"),,桔子理财,1093,1093,,1
ObjectId("5b7adccc80866e4255c630cc"),,山西众创金融,4567,4567,,1
ObjectId("5b7adccc80866e4255c630d7"),,贷贷通,954,954,,1
ObjectId("5b7adccc80866e4255c630da"),,迈信金融,812,812,,1
ObjectId("5b7adccc80866e4255c630de"),,中盈贷,1046,1046,,1
ObjectId("5b7adccc80866e4255c630e3"),,网信普惠,380,380,,1
ObjectId("5b7adccc80866e4255c630e5"),,钱功夫,4587,4587,,1
ObjectId("5b7adccc80866e4255c630e7"),,秒针理财,6575,6575,,1
ObjectId("5b7adccc80866e4255c630ea"),,云回通宝,2964,2964,,1
ObjectId("5b7adccc80866e4255c630ec"),,融洽财富,4338,4338,,1
ObjectId("5b7adccc80866e4255c630ee"),,财猫网,1133,1133,,1
ObjectId("5b7adccc80866e4255c630f0"),,有余金服,4583,4583,,1
ObjectId("5b7adccc80866e4255c630f2"),,魔卡金服,2680,2680,,1
ObjectId("5b7adccc80866e4255c630f7"),,速时代,5619,5619,,1
ObjectId("5b7adccc80866e4255c630f9"),,小生菜,6282,6282,,1
ObjectId("5b7adccc80866e4255c630ff"),,七点金服,5381,5381,,1
ObjectId("5b7adccc80866e4255c63101"),,微E贷,350,350,,1
ObjectId("5b7adccc80866e4255c63104"),,1+1贷,2848,2848,,1
ObjectId("5b7adccc80866e4255c63106"),,民生易贷,1628,1628,,1
ObjectId("5b7adccc80866e4255c63109"),,我家贷,4072,4072,,1
ObjectId("5b7adccc80866e4255c6310e"),,会富金服,4581,4581,,1
ObjectId("5b7adccc80866e4255c63111"),,微金客,823,823,,1
ObjectId("5b7adccc80866e4255c63114"),,天顺祥,885,885,,1
ObjectId("5b7adccc80866e4255c63116"),,恒普金融,4000,4000,,1
ObjectId("5b7adccc80866e4255c6311c"),,宜投通,618,618,,1
ObjectId("5b7adccc80866e4255c63123"),,你我金融,5724,5724,,1
ObjectId("5b7adccc80866e4255c63127"),,钢票网,6430,6430,,1
ObjectId("5b7adccc80866e4255c6313f"),,孚金所,6505,6505,,1
ObjectId("5b7adccc80866e4255c63142"),,点金石,6500,6500,,1
ObjectId("5b7adccc80866e4255c63144"),,e贝宝,5090,5090,,1
ObjectId("5b7adccc80866e4255c63146"),,禹顺贷,6524,6524,,1
ObjectId("5b7adccc80866e4255c63151"),,魔房宝,5398,5398,,1
ObjectId("5b7adccc80866e4255c63153"),,空中金融,6340,6340,,1
ObjectId("5b7adccc80866e4255c63157"),,众筹宝,4283,4283,,1
ObjectId("5b7adccc80866e4255c6315a"),,百合贷,938,938,,1
